"date","intercn","co2mass","gasprice","coalprice","costratio","load","tlsd","tlmin","tlmax","meant","nonfossil","so2price","netNSflow","yearseason","fit","lwr","upr","fit.transformed","lwr.transformed","upr.transformed"
"8/18/2012","EAST",4835488.023,2.7372761,2.5270116,0.923184768,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4530405.46882346,4458287.01885859,4602523.91878833,-0.0986306664616819,-0.112979351061326,-0.0842819818620379
"8/19/2012","EAST",4551253.554,2.7372761,2.5270116,0.923184768,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4530405.46882346,4458287.01885859,4602523.91878833,-0.0986306664616819,-0.112979351061326,-0.0842819818620379
"8/20/2012","EAST",5148177.716,2.7834189,2.5270116,0.907880449,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4541120.23717742,4469761.88773852,4612478.58661632,-0.0964988564776346,-0.110696311499876,-0.0823014014553936
"8/21/2012","EAST",5186691.953,2.8169899,2.5270116,0.897060937,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4549064.4609455,4478475.37479399,4619653.54709701,-0.0949182739596689,-0.108962676381775,-0.0808738715375626
"8/22/2012","EAST",5267380.463,2.8201561,2.5270116,0.896053804,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4549819.77718672,4479312.13920285,4620327.41517059,-0.0947679962634133,-0.108796193760576,-0.0807397987662507
"8/23/2012","EAST",5445829.561,2.8430071,2.5270116,0.888851667,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4555300.63649002,4485424.20240708,4625177.07057295,-0.093677524664033,-0.107580137852367,-0.0797749114756986
"8/24/2012","EAST",5536282.629,2.8078859,2.5270116,0.899969475,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4546898.36336601,4476083.47160446,4617713.25512755,-0.0953492406678462,-0.10943856936722,-0.0812599119684726
"8/25/2012","EAST",5171829.16,2.8078859,2.5270116,0.899969475,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4546898.36336601,4476083.47160446,4617713.25512755,-0.0953492406678462,-0.10943856936722,-0.0812599119684726
"8/26/2012","EAST",5164129.995,2.8078859,2.5270116,0.899969475,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4546898.36336601,4476083.47160446,4617713.25512755,-0.0953492406678462,-0.10943856936722,-0.0812599119684726
"8/27/2012","EAST",5798230.679,2.8154891,2.5270116,0.897539117,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4548706.79176281,4478079.62138248,4619333.96214315,-0.0949894358093191,-0.109041415468427,-0.0809374561502115
